Roster

  System.X
  autoregulation.total_peripheral_resistance
  autoregulation.tpr_limit
  autoregulation.tpr_slope
  autoregulation.tpr_setpoint
  baroreceptor_reflex.affna
  baroreceptor_reflex.sympathetics
  fluids.total_body_water
  fluids.intake
  fluids.distribution
  fluids.extracellular
  fluids.intracellular
  fluids.blood_volume
  fluids.ideal_blood_volume
  fluids.unstressed_blood_volume
  heart.cardiac_output
  cardiac_output.plateau_multiplier
  cardiac_output.setpoint
  cardiac_output.ideal_cardiac_output
  cardiac_output.plateau
  heart.right_atrial_pressure
  heart.stroke_volume
  heart.mcfp_slope
  heart.mean_circulatory_filling_pressure
  heart.resistance_to_venous_return
  blood_flow.blood_flow
  renal_function.MAP_ideal
  renal_function.mean_arterial_pressure
  renal_function.bn
  renal_function.a_n
  renal_function.base_n
  renal_function.urine_output
  energy.energy_excess
  energy.ToWeightGain
  energy.metabolic_need/min
  energy.energy_excess
  growth.height
  growth.body_surface_area
  weight.calculated_weight
  weight.ideal
  weight.dry_percent
  weight.dry
  weight.real
20,0.0175995563588748,0.0600401845425072,0.000175095912178781,475.929633629861,1.31601959552839,0.961048510118485,3500.32555214741,0.45225062087403,0.670431861111111,1404.86411272113,2095.46143942628,463.605157197973,475.929633629861,277.732834846044,1247.49906490979,1.06161060234399,2.04186261530144,1175.10085539264,1247.49952690832,7.98983710408536,8.31666043273193,0.0471171863476312,8.75778084912278,0.00444153712761228,109.779917712061,43.0074074074074,42.0317564489368,0.21879504739866,0.021879504739866,1.05499841818624,0.199570868690204,36.2809336068671,0.00449878521431342,-0.22808276242459,36.2809336068671,21.000462962963,0.268755283382937,1.20007786942316,4.78025533297839,0.260014071101262,1.24293365003123,4.74325920217864,
21,0.0283534420624759,0.0600421923052529,0.000175098301731528,475.923138655595,0.476027515719782,1.54780450494927,3500.25912377406,0.452244693497592,0.670430104166667,1404.83524758605,2095.42387618801,463.595631703396,475.923138655595,277.734125575046,1247.46004571919,1.06161263083593,2.04186574771593,1175.08545405365,1247.48556033493,3.87391360342248,8.3164003047946,0.0758850232641274,14.1041047164556,0.00399837662506505,109.776484023289,43.0077777777778,26.0693638427152,0.218792208185347,0.0218792208185347,1.05499793176406,0.136742209454437,36.3199012625308,0.00449872450085237,-0.228079971513286,36.3199012625308,21.0004861111111,0.268753681463377,1.20008269244054,4.78027754862385,0.26001477448539,1.24294278878301,4.74320191255707,
22,0.0176415061185502,0.0600441999286205,0.000175091818084551,475.940762081139,1.30046116182053,0.962748383942567,3500.43306736681,0.452261894061555,0.670428347222222,1404.90285609631,2095.5302112705,463.617942511784,475.940762081139,277.735416296102,1247.53486002152,1.0616146593441,2.04186888028753,1175.13014696615,1247.53539065645,7.79052071817996,8.31689906681015,0.0471994221726909,8.77354782938025,0.00442124036055947,109.783067681894,43.0081481481482,41.2908643604314,0.218800447255485,0.0218800447255485,1.05499744535049,0.192146172432705,36.3490341568453,0.00449866378984953,-0.228077177696821,36.3490341568453,21.0005092592593,0.268759297913957,1.20008752049778,4.78029976413257,0.260015477853245,1.24295192745268,4.7433849948195,
23,0.0278954780124118,0.060046207412622,0.000175093541927487,475.936076316539,0.493645033251855,1.52187106903999,3500.38467042416,0.452257702430764,0.670426590277778,1404.88122789211,2095.50344253205,463.610805204396,475.936076316539,277.736707009213,1247.50112828701,1.06161668786851,2.04187201301625,1175.11925568441,1247.5262120702,3.89072797059443,8.31667418858005,0.074611542833851,13.8683532391933,0.00400068401739148,109.780099289257,43.0085185185185,26.1485863636185,0.218798439464336,0.0218798439464336,1.05499695894551,0.135023168705909,36.3711837084131,0.00449860308130475,-0.228074381716734,36.3711837084131,21.0005324074074,0.268758237492182,1.20009235231347,4.78032197950453,0.260016181204827,1.24296106604027,4.74334573646443,
24,0.0176872497031247,0.0600482147572692,0.000175087058582551,475.953699879212,1.28380972598982,0.964653553134692,3500.55861637918,0.452274903857071,0.670424833333333,1404.9488370431,2095.60977933608,463.633116224222,475.953699879212,277.737997714379,1247.57543263699,1.06161871640916,2.04187514590209,1175.16395083757,1247.5760450585,7.59078993553059,8.31716955091324,0.0472915388874767,8.79126622600032,0.00440082954860761,109.786638072055,43.0088888888889,40.5466043231842,0.218806678947537,0.0218806678947537,1.05499647254914,0.18500409681752,36.3877385773065,0.00449854237521787,-0.228071584103395,36.3877385773065,21.0005555555556,0.268763853937015,1.20009718697111,4.78034419473975,0.260016884540136,1.24297020454575,4.74352882092493,
25,0.0274271459359774,0.0600502219625739,0.000175088142662833,475.950752951946,0.511587397263871,1.49540483169372,3500.52754965114,0.452272380134572,0.670423076388889,1404.93416428043,2095.5933853707,463.628274212543,475.950752951946,277.7392884116,1247.5468318729,1.06162074496604,2.04187827894505,1175.15739334858,1247.57146737908,3.90857500090972,8.31697887915264,0.0733117432628787,13.6278456024356,0.00400310755920832,109.784121204815,43.0092592592593,26.232033105976,0.21880547008446,0.021880547008446,1.05499598616137,0.133270154726765,36.4004599933693,0.00449848167158874,-0.228068785277795,36.4004599933693,21.0005787037037,0.268763313943812,1.20010202374319,4.78036640983821,0.260017587859173,1.24297934296915,4.74350689262029,
26,0.0177370303007287,0.0600522290285479,0.000175081662125161,475.968369969897,1.26600279952097,0.966776898279293,3500.70143140164,0.452289575741767,0.670421319444444,1405.00174734474,2095.69968405691,463.650576623763,475.968369969897,277.740579100877,1247.62057394004,1.06162277353916,2.04188141214515,1175.20207338171,1247.62128461247,7.39056578342546,8.31747049293361,0.0473941737513851,8.81105072471924,0.00438029125238177,109.790610506724,43.0096296296296,39.7985261022393,0.218813706780307,0.0218813706780307,1.0549954997822,0.178131481933006,36.4099763375939,0.00449842097041719,-0.228065985531875,36.4099763375939,21.0006018518519,0.268768928374762,1.20010686212521,4.78038862479994,0.26001829116194,1.24298848131046,4.7436899127121,
27,0.0269478271783241,0.060054235955203,0.000175082130753578,475.967095983212,0.529920752878954,1.46837302146612,3500.68703826978,0.452288656543786,0.6704195625,1404.9937664366,2095.69327183318,463.647942924077,475.967095983212,277.741869782208,1247.59695707934,1.06162480212852,2.04188454550237,1175.19968499288,1247.62113304206,3.92725738896003,8.31731304719563,0.07198404565502,13.3822712565898,0.00400563007799835,109.788532222982,43.01,26.3190451855932,0.218813266484474,0.0218813266484474,1.05499501341164,0.131473600117128,36.4174227310742,0.00449836027170307,-0.22806318510605,36.4174227310742,21.000625,0.268768889078275,1.20011170170173,4.78041083962493,0.260018994448436,1.24299761956968,4.74368465783946,
28,0.0177909805902858,0.0600562427425511,0.000175075655546139,475.984699719556,1.24700509494031,0.969125249333025,3500.86078869874,0.452305839719364,0.670417805555556,1405.06129646667,2095.79949223207,463.670227834001,475.984699719556,277.743160455595,1247.6700866853,1.06162683073411,2.04188767901673,1175.24433272444,1247.67091628847,7.19008457715892,8.317800577902,0.0475076667333225,8.8329611537173,0.0043596440028085,109.794967628306,43.0103703703704,39.0473499785324,0.218821497225576,0.0218821497225576,1.05499452704967,0.171525561944412,36.4230132500077,0.00449829957544622,-0.228060384158711,36.4230132500077,21.0006481481481,0.268774499471173,1.20011654219903,4.78043305431317,0.260019697718663,1.24300675774682,4.74386754644555,
29,0.0264572937295599,0.0600582493906039,0.000175075532303466,475.985034784233,0.548702829814101,1.44076421847575,3500.86243254528,0.452306463677869,0.670416048611111,1405.05975185617,2095.80268068911,463.669718112536,475.985034784233,277.744451121037,1247.65131014075,1.06162885935593,2.04189081268822,1175.24595398075,1247.67502158725,3.94655621320928,8.31767540093836,0.07062791749256,13.1315144168578,0.00400823163916122,109.793315292386,43.0107407407407,26.4088683070856,0.218821796101699,0.0218821796101699,1.0549940406963,0.129625322925065,36.4275182056862,0.0044982388816465,-0.228057582828386,36.4275182056862,21.0006712962963,0.268774941738568,1.20012138337771,4.78045526886467,0.260020400972621,1.24301589584187,4.74387832838716,
