Roster

  System.X
  autoregulation.total_peripheral_resistance
  autoregulation.tpr_limit
  autoregulation.tpr_slope
  autoregulation.tpr_setpoint
  baroreceptor_reflex.affna
  baroreceptor_reflex.sympathetics
  fluids.total_body_water
  fluids.intake
  fluids.distribution
  fluids.extracellular
  fluids.intracellular
  fluids.blood_volume
  fluids.ideal_blood_volume
  fluids.unstressed_blood_volume
  heart.cardiac_output
  cardiac_output.plateau_multiplier
  cardiac_output.setpoint
  cardiac_output.ideal_cardiac_output
  cardiac_output.plateau
  heart.right_atrial_pressure
  heart.stroke_volume
  heart.mcfp_slope
  heart.mean_circulatory_filling_pressure
  heart.resistance_to_venous_return
  blood_flow.blood_flow
  renal_function.MAP_ideal
  renal_function.mean_arterial_pressure
  renal_function.bn
  renal_function.a_n
  renal_function.base_n
  renal_function.urine_output
  energy.energy_excess
  energy.ToWeightGain
  energy.metabolic_need/min
  energy.energy_excess
  growth.height
  growth.body_surface_area
  weight.calculated_weight
  weight.ideal
  weight.dry_percent
  weight.dry
  weight.real
69,0.0189100469727737,0.0601384012261336,0.00017486599182538,476.555403731959,0.935814019564139,1.0174517219276,3506.47961685574,0.452865566884419,0.670345770833333,1407.22587066499,2099.25374619074,464.384537319448,476.555403731959,277.796071225335,1249.29623372804,1.06171001753518,2.04201628844168,1176.69869417821,1249.31279122957,4.27129659967098,8.32864155818691,0.049816957257007,9.29526964006092,0.00405485995171899,109.938068568067,43.0255555555556,28.0114036818815,0.219089606537637,0.0219089606537637,1.05497459361138,0.0998105975162981,36.4799479437704,0.00449581314270139,-0.227945464055449,36.4799479437704,21.0015972222222,0.268959280463767,1.20031515985711,4.78134373881817,0.260048517799277,1.24338135236852,4.74986096922425,
70,0.0189546334955339,0.060140402173241,0.000174859906277523,476.571989013158,0.93112720592797,1.01954825096051,3506.64324210162,0.452881776446643,0.670344013888889,1407.28932880955,2099.35391329207,464.405478507153,476.571989013158,277.797361565136,1249.34245420568,1.06171204682218,2.04201942855887,1176.7408121313,1249.35989622712,4.27094712488032,8.32894969470455,0.0499178712503427,9.31507995578048,0.00405444507225353,109.9421359701,43.0259259259259,28.0008263211039,0.219097370917942,0.0219097370917942,1.05497410761044,0.0999619174349345,36.481210730161,0.00449575254950908,-0.227942660071566,36.481210730161,21.0016203703704,0.268964583713532,1.20032000642357,4.78136594776482,0.260049220386867,1.24339048710055,4.75003372920218,
71,0.018941350383148,0.0601424029815483,0.000174853780820497,476.588684226866,0.933369750928493,1.01853183627511,3506.80796369576,0.452898091505434,0.670342256944444,1407.3532267302,2099.45473696556,464.426564820966,476.588684226866,277.798651896996,1249.38953613617,1.0617140761254,2.04202256883334,1176.78320420033,1249.40729244744,4.23756491388262,8.32926357424116,0.049866359888449,9.30645467109679,0.00405134038500678,109.946279179983,43.0262962962963,27.8852236641283,0.219105185831103,0.0219105185831103,1.05497362161808,0.0992486252962302,36.4824757404759,0.00449569195876733,-0.22793985603216,36.4824757404759,21.0016435185185,0.268969919778192,1.20032485310558,4.78138815657481,0.26004992295822,1.24339962175062,4.75020758544638,
72,0.0189015282571964,0.0601444036510674,0.000174847631469983,476.605445739993,0.938995365441734,1.01608948447601,3506.97334674718,0.452914470217667,0.6703405,1407.41738989456,2099.55595685262,464.447738665205,476.605445739993,277.799942220916,1249.43718791608,1.06171610544482,2.04202570926511,1176.82576166265,1249.45486445961,4.2231512124763,8.32958125277388,0.0497450351222124,9.28480118960471,0.00405025795986886,109.950472536615,43.0266666666667,27.8427334793527,0.219113031234262,0.0219113031234262,1.05497313563432,0.098788021756416,36.4837445186754,0.004495631370476,-0.227937051937061,36.4837445186754,21.0016666666667,0.26897527560521,1.20032969990342,4.78141036524812,0.260050625513337,1.24340875631873,4.7503821030659,
73,0.0188843692070645,0.0601464041818099,0.000174841480929221,476.622211676804,0.941955271418179,1.01486663518017,3507.13877453538,0.452930853245454,0.670338743055556,1407.48157079971,2099.65720373567,464.468918363904,476.622211676804,277.801232536896,1249.4846423429,1.06171813478047,2.04202884985417,1176.86833033824,1249.50244856892,4.22127778230729,8.32989761561936,0.049683419923356,9.27428902106437,0.00405021156457685,109.954648526176,43.027037037037,27.8405150061358,0.219120878704573,0.0219120878704573,1.05497264965915,0.0986596863344467,36.4850173789263,0.00449557078463492,-0.22793424778598,36.4850173789263,21.0016898148148,0.268980632686389,1.20033454681759,4.78143257378478,0.260051328052218,1.24341789080487,4.75055666534024,
74,0.0188772073780224,0.0601484045737877,0.000174835324287061,476.638995426971,0.943660585760011,1.01418172995113,3507.30438051739,0.452947253429453,0.670336986111111,1407.54582300432,2099.75855751307,464.490121591426,476.638995426971,277.802522844935,1249.53201981711,1.06172016413232,2.04203199060052,1176.91094359151,1249.5500801991,4.21396172238156,8.33021346544738,0.0496481416597652,9.2686923486872,0.0040495827634791,109.958817743905,43.0274074074074,27.8172591529792,0.219128734392708,0.0219128734392708,1.05497216369256,0.0984727460155502,36.4862933686842,0.00449551020124393,-0.227931443578607,36.4862933686842,21.001712962963,0.268985995026516,1.20033939384864,4.78145478218477,0.260052030574864,1.24342702520904,4.75073140572643,
75,0.0188648846462888,0.0601504048270125,0.000174829154945817,476.655814982118,0.946117928315823,1.0132201588182,3507.47034401952,0.452963688023636,0.670335229166667,1407.6102184749,2099.86012554462,464.511372096717,476.655814982118,277.803813145034,1249.57957080865,1.06172219350038,2.04203513150418,1176.95364625412,1249.5978069492,4.20356858387911,8.33053047205766,0.0495993187592704,9.26056773120977,0.00404871964333017,109.963002231161,43.0277777777778,27.7846543759353,0.219136606563321,0.0219136606563321,1.05497167773457,0.0982101475926623,36.4875720346363,0.00449544962030289,-0.227928639314702,36.4875720346363,21.0017361111111,0.26899136800656,1.20034424099697,4.7814769904481,0.260052733081276,1.24343615953126,4.75090650355078,
76,0.0188513048764724,0.0601524049414961,0.000174822975454765,476.672663398844,0.948835620443828,1.01219177860932,3507.63659583733,0.452980150369509,0.670333472222222,1407.67472943783,2099.9618663995,464.532660714485,476.672663398844,277.805103437194,1249.6272451913,1.06172422288466,2.04203827256514,1176.99642102507,1249.64561045087,4.19538975143874,8.33084830127532,0.049547225970853,9.25183247540333,0.00404809352093572,109.967197576834,43.0281481481481,27.7606102802069,0.219144492026995,0.0219144492026995,1.05497119178517,0.0979865839437664,36.4888533839158,0.00449538904181163,-0.227925834994062,36.4888533839158,21.0017592592593,0.268996749549326,1.20034908826295,4.78149919857476,0.260053435571455,1.24344529377153,4.75108188960886,
77,0.0188403452400442,0.0601544049172502,0.000174816788519316,476.689533306039,0.951262465844422,1.0113047653978,3507.80306250288,0.452996633398372,0.670331715277778,1407.73932640868,2100.0637360942,464.553977714866,476.689533306039,277.806393721413,1249.67496597213,1.06172625228515,2.0420414137834,1177.03924953745,1249.69347120392,4.18863138220844,8.33116643981417,0.0495020543643145,9.24438905524826,0.00404759487482667,109.971397005547,43.0285185185185,27.7413996545091,0.21915238739782,0.021915238739782,1.05497070584435,0.0978023963764878,36.4901372886708,0.00449532846577001,-0.227923030616481,36.4901372886708,21.0017824074074,0.269002137449828,1.20035393564692,4.78152140656478,0.260054138045401,1.24345442792984,4.75125749043272,
78,0.0188309122324413,0.0601564047542865,0.000174810594266256,476.706424362402,0.953537217345697,1.01050031428972,3507.96974061537,0.453013136783045,0.670329958333333,1407.80400802225,2100.16573259313,464.575322647341,476.706424362402,277.807683997693,1249.72274155701,1.06172828170184,2.04204455515898,1177.08213094115,1249.74138830609,4.18195849016813,8.33148494371341,0.0494609249252227,9.23770015371137,0.00404710529662913,109.975601257017,43.0288888888889,27.7225173378357,0.219160292519079,0.0219160292519079,1.05497021991213,0.0976281775686792,36.4914235122134,0.00449526789217786,-0.227920226181765,36.4914235122134,21.0018055555556,0.269007531605695,1.20035878314923,4.78154361441813,0.260054840503116,1.2434635620062,4.75143330262157,
79,0.0188221058675257,0.0601584044526169,0.000174804392808119,476.723336265397,0.955788270456348,1.00973007129713,3508.13662716035,0.453029660233524,0.670328201388889,1407.86877306838,2100.26785409198,464.596695112564,476.723336265397,277.808974266034,1249.77058446427,1.06173031113475,2.04204769669187,1177.12506448263,1249.78936095766,4.17554193353988,8.33180389642847,0.0494214705636943,9.23132384747634,0.00404664855810713,109.979811432856,43.0292592592593,27.7047710315523,0.219168207251858,0.0219168207251858,1.0549697339885,0.0974634395651111,36.4927118715484,0.00449520732103503,-0.227917421689738,36.4927118715484,21.0018287037037,0.269012931926158,1.20036363077017,4.78156582213483,0.260055542944599,1.24347269600061,4.75160932316096,
80,0.018814103099689,0.060160404012253,0.000174798184818117,476.740267183233,0.957984429927208,1.00900349595518,3508.30370388088,0.453046201993238,0.670326444444444,1407.9336142199,2100.37008966098,464.618092692568,476.740267183233,277.810264526434,1249.81848732692,1.06173234058387,2.04205083838208,1177.16804559773,1249.83738431302,4.16962781375476,8.33212324884613,0.0493841542790682,9.22534660669403,0.00404624579767507,109.984026884769,43.0296296296296,27.6889728823531,0.219176130754761,0.0219176130754761,1.05496924807345,0.0973132836737947,36.4940022244521,0.00449514675234136,-0.227914617140237,36.4940022244521,21.0018518518519,0.269018337863096,1.20036847851004,4.78158802971487,0.260056245369852,1.24348182991308,4.75178553379396,
81,0.0188070116580959,0.0601624034332068,0.000174791970922937,476.757215410505,0.960101948410042,1.00832632521869,3508.47095377967,0.453062760426813,0.6703246875,1407.99852465522,2100.47242912445,464.639513136221,476.757215410505,277.811554778895,1249.86644275101,1.06173437004919,2.04205398022961,1177.21107003719,1249.88545386087,4.16415251896948,8.33244295167339,0.0493492568011677,9.21982089461355,0.00404588923946975,109.988246962089,43.03,27.6748510590477,0.219184062244444,0.0219184062244444,1.05496876216699,0.0971767910693897,36.4952944297649,0.0044950861860967,-0.227911812533111,36.4952944297649,21.001875,0.26902374890622,1.20037332636909,4.78161023715827,0.260056947778875,1.2434909637436,4.75196191752327,
82,0.0188007474558764,0.0601644027154897,0.000174785751606778,476.774179629994,0.962147721207416,1.00769400824996,3508.63836372843,0.453079334271132,0.670322930555556,1408.06349910543,2100.574864623,464.660954704791,476.774179629994,277.812845023417,1249.91444746123,1.06173639953073,2.04205712223446,1177.254134519,1249.93356611687,4.15904742483033,8.33276298307487,0.0493165552940526,9.21470513269068,0.00404557250274057,109.992471376588,43.0303703703704,27.6621661278546,0.219192001115872,0.0219192001115872,1.05496827626912,0.0970522321288193,36.4965883495443,0.0044950256223009,-0.227909007868218,36.4965883495443,21.0018981481481,0.269029164661361,1.20037817434758,4.78163244446501,0.26005765017167,1.24350009749219,4.75213846122062,
83,0.0187952444241962,0.0601664018591137,0.000174779527331508,476.791158585029,0.964126541400702,1.00710296505386,3508.80592120231,0.453095922321134,0.670321173611111,1408.12853254386,2100.67738865845,464.682415739473,476.791158585029,277.81413526,1249.96249831171,1.06173842902847,2.04206026439665,1177.29723591201,1249.98171775677,4.15429768594741,8.33308332207806,0.0492858744577564,9.20996661184811,0.00404529418035942,109.99669985143,43.0307407407407,27.6508656190176,0.219199946791823,0.0219199946791823,1.05496779037984,0.0969389522850901,36.4978838556913,0.00449496506095379,-0.22790620314543,36.4978838556913,21.0019212962963,0.269034584752485,1.20038302244572,4.78165465163511,0.260058352548236,1.24350923115884,4.75231515236114,
84,0.0187904667000297,0.0601684008640906,0.000174773298550757,476.808151041059,0.966038364732492,1.00655123791063,3508.97361389686,0.453112523392964,0.670319416666667,1408.1936200323,2100.77999386456,464.703894610658,476.808151041059,277.815425488643,1250.01059170425,1.06174045854242,2.04206340671616,1177.34037114015,1250.02990551484,4.14988900645258,8.33340394469503,0.0492571184027968,9.20558745166051,0.00404505262596634,110.000932069974,43.0311111111111,27.6408911907241,0.21920789870523,0.021920789870523,1.05496730449915,0.0968364282501371,36.4991808286065,0.00449490450205522,-0.227903398364625,36.4991808286065,21.0019444444444,0.269040008810194,1.20038787066372,4.78167685866856,0.260059054908575,1.24351836474355,4.75249197864041,
85,0.0187863770258494,0.0601703997304319,0.000174767065691609,476.825155835607,0.967883596310137,1.00603679675016,3509.14143022594,0.453129136371876,0.670317659722222,1408.25875692084,2100.8826733051,464.725389783878,476.825155835607,277.816715709348,1250.05872423936,1.06174248807258,2.04206654919301,1177.38353730693,1250.07812631595,4.14580039221873,8.33372482826238,0.0492301877048273,9.20154910834951,0.00404484558813375,110.005167733063,43.0314814814815,27.6321615933626,0.219215856322129,0.0219215856322129,1.05496681862704,0.0967440161023072,36.500479155451,0.00449484394560504,-0.227900593525694,36.500479155451,21.0019675925926,0.269045436486667,1.20039271900178,4.78169906556536,0.260059757252688,1.24352749824633,4.75266892847228,
86,0.0187829360533214,0.0601723984581495,0.00017476082915416,476.842171879507,0.9696633163218,1.00555750197863,3509.30935933406,0.453145760213422,0.670315902777778,1408.32393885283,2100.98542048123,464.746899821433,476.842171879507,277.818005922113,1250.10689277478,1.06174451761894,2.0420696918272,1177.42673169854,1250.1263772789,4.14201179994429,8.33404595183185,0.0492049775862323,9.19783203453522,0.00404467094936208,110.00940656418,43.0318518518519,27.6246001113422,0.219223819142229,0.0219223819142229,1.05496633276352,0.096661089703253,36.5017787298079,0.00449478339160308,-0.227897788628533,36.5017787298079,21.0019907407407,0.26905086745603,1.20039756746008,4.78172127232553,0.260060459580574,1.24353663166719,4.75284599100125,
87,0.0187801062429267,0.0601743970472551,0.000174754589315027,476.859198147349,0.971378582653428,1.00511131334442,3509.47739100111,0.453162393934289,0.670314145833333,1408.38916172661,2101.0882292745,464.76842336978,476.859198147349,277.81929612694,1250.15509433211,1.06174654718151,2.04207283461873,1177.46995175997,1250.17465569112,4.13850486337129,8.33436729554737,0.0491813881382297,9.19441758903343,0.00404452675297022,110.013648301225,43.0322222222222,27.6181360085202,0.219231786694524,0.0219231786694524,1.05496584690859,0.0965870676021532,36.5030794514542,0.00449472284004921,-0.227894983673048,36.5030794514542,21.0020138888889,0.26905630141149,1.20040241603878,4.78174347894905,0.260061161892236,1.24354576500611,4.75302315600722,
88,0.0187778518380817,0.0601763954977605,0.000174748346528412,476.876233674603,0.973030425036641,1.00469628840545,3509.64551561374,0.45317903660954,0.670312388888889,1408.45442168406,2101.19109392968,464.78995915574,476.876233674603,277.820586323827,1250.20332608634,1.06174857676028,2.04207597756761,1177.51319508794,1250.22295900107,4.13526199654726,8.33468884057558,0.0491593242453839,9.19128802300007,0.004044411118023,110.017892695598,43.0325925925926,27.6127013531232,0.21923975853597,0.021923975853597,1.05496536106225,0.0965213958617172,36.5043812260069,0.00449466229094325,-0.227892178659154,36.5043812260069,21.002037037037,0.269061738064482,1.20040726473803,4.78176568543593,0.260061864187673,1.24355489826311,4.75320041387685,
89,0.0187761384611957,0.0601783938096775,0.000174742101126759,476.893277555835,0.974619922884791,1.00431056077737,3509.8137241476,0.453195687370907,0.670310631944444,1408.51971510345,2101.29400904414,464.81150598414,476.893277555835,277.821876512777,1250.25158537053,1.06175060635526,2.04207912067384,1177.55645942639,1250.27128481352,4.13226633468332,8.33501056913688,0.0491386945207289,9.18842628113761,0.00404432223869118,110.022139512607,43.032962962963,27.6082309419063,0.219247734250664,0.0219247734250664,1.05496487522449,0.0964635450793813,36.5056839646044,0.00449460174428505,-0.22788937358677,36.5056839646044,21.0020601851852,0.269067177144128,1.20041211355797,4.78178789178617,0.260062566466886,1.24356403143819,4.75337775558579,
90,0.0187749331152067,0.0601803919830176,0.000174735853421694,476.910328942185,0.976148205586691,1.00395234010216,3509.98200814214,0.453212345404369,0.670308875,1408.58503858934,2101.3969695528,464.833062734484,476.910328942185,277.823166693787,1250.29986967098,1.06175263596644,2.04208226393742,1177.59974266022,1250.31963088289,4.12950181492388,8.33533246447323,0.049119411303888,9.18581600152031,0.0040442583921953,110.026388531047,43.0333333333333,27.6046625940087,0.219255713448693,0.0219255713448693,1.05496438939532,0.0964130114585203,36.5069875836345,0.00449454120007447,-0.227886568455825,36.5069875836345,21.0020833333333,0.269072618396486,1.20041696249872,4.78181009799978,0.260063268729877,1.24357316453136,4.7535551726735,
91,0.0187742042080157,0.0601823900177928,0.000174729603704972,476.927387038777,0.977616446116839,1.00361991324104,3510.15035967487,0.453229009947672,0.670307118055556,1408.65038896223,2101.49997071264,464.854628357535,476.927387038777,277.824456866859,1250.34817662103,1.06175466559383,2.04208540735836,1177.64304280882,1250.36799510638,4.12695317083002,8.33565451080687,0.0491013907190874,9.18344152662158,0.00404421793817281,110.030639542651,43.0337037037037,27.601937128769,0.219263695764935,0.0219263695764935,1.05496390357474,0.0963693164110178,36.5082920044839,0.00449448065831133,-0.227883763266253,36.5082920044839,21.0021064814815,0.26907806158377,1.2004218115604,4.78183230407675,0.260063970976646,1.2435822975426,4.75373265721747,
92,0.0187739215413691,0.0601843879140147,0.000174723352249409,476.944451102216,0.979025860908089,1.00331164356555,3510.31877133637,0.453245680287926,0.670305361111111,1408.71576324852,2101.60300808785,464.876201872012,476.944451102216,277.825747031993,1250.39650399566,1.06175669523742,2.04208855093665,1177.68635801987,1250.41637551738,4.12460591350085,8.33597669330437,0.0490845526400981,9.18128789694921,0.00404419931715246,110.034892351618,43.0340740740741,27.5999983062761,0.219271680857916,0.0219271680857916,1.05496341776274,0.0963320058307683,36.5095971533004,0.0044944201189955,-0.227880958017994,36.5095971533004,21.0021296296296,0.269083506483604,1.20042666074312,4.78185451001709,0.260064673207193,1.24359143047194,4.7539102018083,
93,0.0187740562968027,0.060186385671695,0.000174717099309786,476.961520438119,0.980377709355364,1.00302597009284,3510.48723620569,0.45326235575924,0.670303604166667,1408.78115867069,2101.70607753499,464.897782361329,476.961520438119,277.827037189188,1250.4448497061,1.06175872489722,2.04209169467231,1177.72968656316,1250.46477027891,4.12244631669311,8.33629899804066,0.0490688206475614,9.17934084325745,0.00404420104937823,110.039146774137,43.0344444444444,27.5987927812761,0.219279668408676,0.0219279668408676,1.05496293195933,0.0963006494632845,36.5109029607696,0.0044943595821268,-0.227878152710993,36.5109029607696,21.0021527777778,0.26908895288828,1.20043151004697,4.7818767158208,0.26006537542152,1.24360056331936,4.75408779952505,
94,0.0187745810216155,0.0601883832908456,0.000174710845123756,476.978594398674,0.981673292133574,1.0027614066244,3510.65574782603,0.45327903574038,0.670301847222222,1408.84657263749,2101.80917518854,464.919368970372,476.978594398674,277.828327338445,1250.49321179431,1.06176075457322,2.04209483856534,1177.77302682452,1250.51317767718,4.12046140021409,8.3366214119621,0.0490541219864736,9.17758677878895,0.00404422173338847,110.0434026379,43.0348148148148,27.5982700487876,0.219287658119642,0.0219287658119642,1.0549624461645,0.0962748402710462,36.5122093618992,0.00449429904770509,-0.227875347345202,36.5122093618992,21.0021759259259,0.269094400604028,1.20043635947203,4.78189892148787,0.260066077619626,1.24360969608487,4.7542654439109,
95,0.0187754696121634,0.0601903807714781,0.000174704589912726,476.995672380232,0.98291394887045,1.00251654074316,3510.82430018077,0.453295719652461,0.670300090277778,1408.91200273432,2101.91229744645,464.940960902327,476.995672380232,277.829617479765,1250.54158842739,1.06176278426541,2.04209798261574,1177.81637729979,1250.56159611523,4.1186389108365,8.33694392284926,0.0490403875167522,9.17601279022258,0.00404426004430854,110.04765978161,43.0351851851852,27.5983823795543,0.219295649713529,0.0219295649713529,1.05496196037826,0.0962541937675464,36.5135162958124,0.00449423851573021,-0.227872541920577,36.5135162958124,21.0021990740741,0.269099849450296,1.20044120901839,4.78192112701832,0.260066779801514,1.24361882876848,4.75444312894925,
96,0.0187766972940096,0.0601923781136042,0.000174698333882729,477.012753820955,0.984101055272916,1.00229003264479,3510.99288766998,0.453312406956691,0.670298333333333,1408.97744671383,2102.01544095614,464.962557415565,477.012753820955,277.830907613146,1250.58997789194,1.06176481397382,2.04210112682351,1177.85973658902,1250.61002410669,4.11696730142269,8.33726651927959,0.0490275516556872,9.17460662710208,0.00404431473192528,110.051918054491,43.0355555555556,27.5990847478511,0.219303642932255,0.0219303642932255,1.05496147460061,0.0962383473273324,36.5148237055477,0.00449417798620201,-0.227869736437079,36.5148237055477,21.0022222222222,0.269105299259043,1.20044605868611,4.78194333241215,0.260067481967183,1.24362796137019,4.75462084904016,
97,0.0187782405988612,0.0601943753172358,0.000174692077225274,477.029838198506,0.985236019743249,1.00208061379963,3511.16150508741,0.453329097152158,0.670296576388889,1409.04290248667,2102.11860260074,464.984157820602,477.029838198506,277.832197738589,1250.63837858849,1.06176684369842,2.04210427118866,1177.90310339067,1250.65846026968,4.11543570858024,8.33758919058991,0.0490155523121139,9.17335668971454,0.00404438461857339,110.056177315787,43.0359259259259,27.6003347527738,0.219311637535884,0.0219311637535884,1.05496098883153,0.0962269594743775,36.5161315378642,0.00449411745912033,-0.227866930894674,36.5161315378642,21.0022453703704,0.26911074987405,1.20045090847525,4.78196553766934,0.260068184116635,1.24363709388999,4.75479859897741,
98,0.0187800773382038,0.0601963723823845,0.000174685820118172,477.046925027801,0.986320279558435,1.0018870854409,3511.33014759814,0.45334578977367,0.670294819444444,1409.1083681125,2102.22177948564,465.005761477126,477.046925027801,277.833487856094,1250.68678902588,1.06176887343922,2.04210741571119,1177.946476496,1250.70690332086,4.11403392907859,8.33791192683919,0.0490043308120937,9.17225201537674,0.00404446859685808,110.060437434277,43.0362962962963,27.6020925338879,0.219319633301588,0.0219319633301588,1.05496050307105,0.0962197091499283,36.5174397430521,0.00449405693448501,-0.227864125293329,36.5174397430521,21.0022685185185,0.269116201150246,1.20045575838587,4.78198774278992,0.26006888624987,1.2436462263279,4.75497637392604,
99,0.0187821865736354,0.0601983693090621,0.000174679562726343,477.064013858824,0.98735529669473,1.00170831687968,3511.49881071671,0.453362484389665,0.6702930625,1409.17384179126,2102.32496892545,465.027367791116,477.064013858824,277.834777965662,1250.73520781573,1.06177090319622,2.04211056039111,1177.98985478368,1250.75535206966,4.11275239526179,8.33823471877153,0.0489938318161274,9.1712822631336,0.00404456562723929,110.064698287784,43.0366666666667,27.604320682154,0.219327630022649,0.0219327630022649,1.05496001731915,0.0962162949618268,36.5187482747489,0.00449399641229591,-0.227861319633019,36.5187482747489,21.0022916666667,0.269121652953053,1.20046060841802,4.78200994777387,0.260069588366888,1.24365535868392,4.75515416940063,
100,0.0187845485840065,0.0602003660972803,0.000174673305202597,477.081104274509,0.988342553380313,1.00154324365264,3511.6674902861,0.453379180600176,0.670291305555556,1409.23932185468,2102.42816843143,465.048976212043,477.081104274509,277.836068067292,1250.78363366694,1.06177293296943,2.04211370522841,1178.03323721446,1250.80380541266,4.11158214968032,8.33855755777961,0.0489840032281984,9.17043769692287,0.00404467473550237,110.068959762691,43.037037037037,27.6069841470161,0.219335627507484,0.0219335627507484,1.05495953157583,0.0962164344178967,36.5200570897597,0.00449393589255285,-0.22785851391372,36.5200570897597,21.0023148148148,0.269127105157754,1.20046545857173,4.78203215262121,0.260070290467692,1.24366449095804,4.75533198124414,
101,0.0187871448295621,0.0602023627470508,0.000174667047688387,477.098195888692,0.989283547458588,1.00139086551331,3511.83618245727,0.453395878034871,0.670289548611111,1409.3048067581,2102.53137569917,465.070586230173,477.098195888692,277.837358160985,1250.83206538031,1.06177496275883,2.04211685022311,1178.07662282608,1250.85226232821,4.11051481915087,8.33888043586872,0.048974796097172,9.16970916730376,0.0040447950101391,110.073221753467,43.0374074074074,27.6100501405016,0.219343625578703,0.0219343625578703,1.0549590458411,0.0962198631464285,36.5213661478833,0.0044938753752557,-0.227855708135413,36.5213661478833,21.002337962963,0.269132557648877,1.20047030884705,4.78205435733193,0.260070992552281,1.24367362315027,4.75550980560755,
102,0.0187899579133526,0.0602043592583853,0.00017466079031453,477.115288344146,0.990179787642171,1.00125024428144,3512.00488366959,0.453412576351165,0.670287791666667,1409.37029507261,2102.63458859697,465.092197373963,477.115288344146,277.83864824674,1250.88050184324,1.06177699256443,2.0421199953752,1178.1200107284,1250.90072187117,4.10954258843967,8.33920334562163,0.0489661645112677,9.16908809188234,0.0040449255996618,110.077484162206,43.0377777777778,27.613488039139,0.219351624072208,0.0219351624072208,1.05495856011495,0.0962263341071447,36.5226754117426,0.00449381486040428,-0.227852902298079,36.5226754117426,21.0023611111111,0.269138010319609,1.200475159244,4.78207656190603,0.260071694620655,1.24368275526062,4.75568763893021,
103,0.0187929715402427,0.0602063556312957,0.000174654533201909,477.132381310687,0.991032788733442,1.00112050156825,3512.17359063196,0.453429275232407,0.670286034722222,1409.43578547749,2102.73780515446,465.113809207573,477.132381310687,277.839938324558,1250.92894202463,1.06177902238623,2.04212314068469,1178.16340009864,1250.94918316797,4.10865817375301,8.3395262801642,0.0489580654864736,9.16856643459603,0.0040450657098724,110.081746898167,43.0381481481482,27.6172692844614,0.219359622836323,0.0219359622836323,1.05495807439738,0.0962356167963317,36.5239848466213,0.00449375434799846,-0.227850096401706,36.5239848466213,21.0023842592593,0.269143463071231,1.20048000976261,4.78209876634351,0.260072396672817,1.24369188728908,4.75586547792104,
104,0.0187961704738894,0.0602083518657935,0.000174648276462134,477.14947448337,0.991844066881656,1.00100081639755,3512.34230030481,0.453445974386147,0.670284277777778,1409.50127675294,2102.84102355186,465.135421328472,477.14947448337,277.841228394439,1250.97738496982,1.06178105222422,2.04212628615158,1178.20679017693,1250.99764541178,4.10785479620583,8.33984923313212,0.0489504588498856,9.1681366840399,0.00404521460110703,110.086009877344,43.0385185185185,27.6213672828186,0.219367621730965,0.0219367621730965,1.0549575886884,0.0962474964499869,36.5252944203051,0.00449369383803807,-0.227847290446282,36.5252944203051,21.0024074074074,0.269148915812572,1.20048486040289,4.78212097064439,0.260073098708766,1.24370101923566,4.75604331954047,
105,0.018799540492089,0.0602103479618905,0.000174642020198176,477.166567580759,0.992615134939944,1.00089042274432,3512.51100988292,0.453462673542481,0.670282520833333,1409.56676777323,2102.94424210969,465.157033365165,477.166567580759,277.842518456383,1251.02582979579,1.06178308207842,2.04212943177588,1178.25018026195,1251.04610785798,4.10712615542728,8.34017219863862,0.0489433071190212,9.16779183103101,0.00404537158547554,110.09027302203,43.0388888888889,27.6257573051763,0.219375620626848,0.0219375620626848,1.054957102988,0.0962617732489162,36.526604102929,0.00449363333052295,-0.227844484431798,36.526604102929,21.0024305555556,0.269154368459496,1.20048971116488,4.78214317480865,0.260073800728504,1.24371015110036,4.75622116098328,
106,0.0188030683409061,0.0602123439195986,0.000174635764504977,477.183660343288,0.993347497977929,1.00078860701283,3512.67971677903,0.453479372452475,0.670280763888889,1409.63225750008,2103.04745927895,465.178644975026,477.183660343288,277.843808510389,1251.07427568653,1.06178511194881,2.04213257755759,1178.2935697069,1251.0945698198,4.10646640344975,8.34049517124352,0.0489365753781959,9.16752534561371,0.00404553602411383,110.094536260415,43.0392592592593,27.6304163875304,0.219383619404735,0.0219383619404735,1.05495661729618,0.0962782615297039,36.5279138668304,0.00449357282545296,-0.227841678358248,36.5279138668304,21.0024537037037,0.269159820934413,1.20049456204857,4.7821653788363,0.260074502732031,1.24371928288319,4.75639899966221,
107,0.0188067416879995,0.0602143397389292,0.000174629509470013,477.200752531707,0.994042648997849,1.00069470547643,3512.84841860834,0.453496070886678,0.670279006944444,1409.6977449765,2103.15067363185,465.200255842243,477.200752531707,277.845098556459,1251.12272188851,1.0617871418354,2.04213572349671,1178.33695791558,1251.1430306642,4.10587011901433,8.34081814592337,0.0489302311530446,9.16733115370846,0.00404570732446568,110.098799526188,43.0396296296296,27.6353232325129,0.219391617954719,0.0219391617954719,1.05495613161295,0.09629678900536,36.5292236864081,0.00449351232282794,-0.227838872225626,36.5292236864081,21.0024768518519,0.269165273165806,1.20049941305399,4.78218758272735,0.260075204719348,1.24372841458414,4.75657683319248,
